main_artist,id,name,popularity,genres
Jadakiss,0lEssBAxQl2In4RpaB1C2Y,Pusha T,69,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
JAY-Z,3ZotbHeyVQKxQCPDJuQ4SU,T.I.,71,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Pusha T,2GHclqNVjqGuiE5mA7BEoc,Rick Ross,75,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Clipse,78xUyw6FkVZrRAtziFdtdu,Diddy,71,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']"
Jay Rock,4iCwCMnqsNZ6atvRiADgtn,The Notorious B.I.G.,74,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Freddie Gibbs,3PyWEKLWI0vHPmoNrIX0QE,Lil Wayne,83,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Ab-Soul,6FD0unjzGQhX3b6eMccMJe,Ludacris,73,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Big K.R.I.T.,6ns6XAOsw4B0nDUIovAOUO,Busta Rhymes,69,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
ScHoolboy Q,1Z8ODXyhEBi3WynYw0Rya6,Fat Joe,65,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Kanye West,2gINJ8xw86xawPyGvx1bla,Kanye West,88,"['chicago rap', 'hip hop', 'rap']"
JAY-Z,5DKuVtlpDH0agZQUFDy8O7,Lupe Fiasco,63,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
Nas,2yQf6b8hxahZaT5dHlWaB1,Outkast,72,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
Pusha T,5cMgGlA1xGyeAB2ctYlRdZ,The Game,69,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
T.I.,7yk35uHNQclPXFGFoTU44w,Kid Cudi,77,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Rick Ross,7xTKLpo7UCzXSnlH7fOIoM,Mobb Deep,64,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']"
Diddy,50NoVNy9GU1lCrDV8iGpyu,2 Chainz,73,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The Notorious B.I.G.,3fJ60AcIgLzQkVitEvA7uq,Jadakiss,62,"['battle rap', 'east coast hip hop', 'trap']"
Lil Wayne,6jHG1YQkqgojdEzerwvrVv,Mos Def,62,"['conscious hip hop', 'east coast hip hop', 'hip hop']"
Ludacris,1020a42xVklY6c56imNcaa,Fabolous,63,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']"
Busta Rhymes,6jHG1YQkqgojdEzerwvrVv,Mobb Deep,64,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']"
Fat Joe,099tLNCZZvtjC7myKD0mFp,Mos Def,62,"['conscious hip hop', 'east coast hip hop', 'hip hop']"
Kanye West,6futYSDVulYR2PktBjTB5W,Rakim,55,['east coast hip hop']
Lupe Fiasco,3zpKjsMg2gw1St5WcWoUJN,Big L,56,"['east coast hip hop', 'hardcore hip hop', 'harlem hip hop']"
Outkast,2gINJ8xw86xawPyGvx1bla,Wu-Tang Clan,65,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
The Game,2yQf6b8hxahZaT5dHlWaB1,Gang Starr,61,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hip hop']"
Kid Cudi,2VX0o9LDIVmKIgpnwdJpOJ,Ghostface Killah,63,"['east coast hip hop', 'hardcore hip hop']"
Mobb Deep,4OBbOrkD4geIjOLrICN3wO,Method Man,67,"['east coast hip hop', 'hardcore hip hop', 'hip hop']"
2 Chainz,4iCwCMnqsNZ6atvRiADgtn,Common,58,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']"
Jadakiss,7HqrSDuI9lHuH1CDismTFg,Redman,61,"['east coast hip hop', 'hardcore hip hop', 'new jersey rap', 'wu fam']"
Mos Def,2bwR166mSJEJrYJqfyust3,Raekwon,65,"['east coast hip hop', 'hardcore hip hop']"
Fabolous,7xTKLpo7UCzXSnlH7fOIoM,Big Pun,58,"['bronx hip hop', 'east coast hip hop', 'hardcore hip hop']"
Kid Cudi,30fiiwr2EeZp1tAhzYCmyM,GZA,60,"['east coast hip hop', 'hardcore hip hop']"
KIDS SEE GHOSTS,1W9qOBYRTfP7HcizWN43G1,A Tribe Called Quest,64,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']"
ScHoolboy Q,0auu2itHTxEdAMRHvx7CyG,Talib Kweli,51,"['conscious hip hop', 'east coast hip hop']"
Joey Bada$$,3fJ60AcIgLzQkVitEvA7uq,Ol' Dirty Bastard,62,"['east coast hip hop', 'hardcore hip hop', 'hip hop']"
Pusha T,4akj4uteQQrrGxhX9Rjuyf,AZ,53,"['alternative hip hop', 'hardcore hip hop', 'hip hop']"
